model,variant,case_type,num_correct,num_incorrect,num_trials,avg_tvd,std_tvd,fine_tuned
phi-2,plain,given_words,0,100,100,0.497,0.002,
phi-2,plain,random_words,0,100,100,0.48,0.004,
phi-2,plain,icl_random_words,0,100,100,0.487,0.003,
deepseek-llm-7b,plain,given_words,0,100,100,0.477,0.016,
deepseek-llm-7b,plain,random_words,0,100,100,0.493,0.001,
deepseek-llm-7b,plain,icl_random_words,0,100,100,0.493,0.001,
deepseek-llm-7b-chat,plain,given_words,21,79,100,0.304,0.155,
deepseek-llm-7b-chat,plain,random_words,0,100,100,0.458,0.015,
deepseek-llm-7b-chat,plain,icl_random_words,0,100,100,0.47,0.007,
deepseek-coder-7b,plain,given_words,0,100,100,0.479,0.012,
deepseek-coder-7b,plain,random_words,0,100,100,0.498,0.0,
deepseek-coder-7b,plain,icl_random_words,0,100,100,0.498,0.0,
qwen2.5-7b,plain,given_words,0,100,100,0.423,0.04,
qwen2.5-7b,plain,random_words,0,100,100,0.489,0.002,
qwen2.5-7b,plain,icl_random_words,0,100,100,0.494,0.001,
qwen2.5-3b,plain,given_words,0,100,100,0.434,0.062,
qwen2.5-3b,plain,random_words,0,100,100,0.496,0.001,
qwen2.5-3b,plain,icl_random_words,0,100,100,0.493,0.001,
qwen2.5-3b-instruct,plain,given_words,5,95,100,0.413,0.17,True
qwen2.5-3b-instruct,plain,random_words,0,100,100,0.392,0.026,True
qwen2.5-3b-instruct,plain,icl_random_words,0,100,100,0.346,0.042,True
llama-3.1-8b,plain,given_words,0,250,250,inf,,False
llama-3.1-8b,plain,random_words,0,250,250,inf,,False
llama-3.1-8b,plain,icl_random_words,0,250,250,0.488,0.002,False
llama-3.2-3b,plain,given_words,0,250,250,0.41,0.043,False
llama-3.2-3b,plain,random_words,0,250,250,inf,,False
llama-3.2-3b,plain,icl_random_words,0,250,250,0.492,0.002,False
